username,name,sex,address,mail,birthdate,job,phone,userid,survey_answers,salary
kennethanderson,Thomas Roman,M,IP112LB,tyler67@gmail.com,1968-01-06,Technical author,125.135.9243,8db8f774-82b1-4972-8d64-c0ecb61516b9,[5 1 1 4 5 3 1 2 2 3 2 4 3 5 4 5 3 1 2 5],18562.919666757512
ritterjason,Jessica Johnson,F,YO36DB,rstokes@gmail.com,1939-02-20,"Administrator, charities/voluntary organisations",570.819.4526,216e95b1-1332-4d23-b5a6-200fc60407ce,[5 3 5 3 3 3 5 4 2 3 5 2 2 2 4 3 4 1 2 3],20239.00588163457
prestoneric,Denise Shaw,F,WC1N2DR,rick09@yahoo.com,1950-02-22,Environmental education officer,674.428.4423x374,2be8c08f-b921-435a-9dcf-a535ac093177,[2 4 2 5 4 4 1 3 3 3 5 1 2 5 3 2 1 2 2 1],21379.535699903405
chelseapeck,Christine Fleming,F,N144NB,jonesshelia@gmail.com,1949-08-03,Tree surgeon,001-951-497-1007x2159,ebe4cdd4-9933-4a2c-a649-5de86d203265,[1 3 1 2 3 4 1 3 2 5 4 1 5 2 5 3 2 5 1 1],22156.101665667542
laurencrane,Jillian Richmond,F,G235YG,mbarnett@gmail.com,1924-12-19,"Engineer, structural",(434)414-0120x462,ba6b1a30-ff2b-4bb3-b9bd-8317aea61768,[1 5 4 2 1 3 5 2 3 5 2 4 1 5 3 1 5 2 4 5],21876.45888554391
tracymelendez,Ronald Carney,M,SN48LP,kelleyjohn@yahoo.com,2002-08-14,Data processing manager,(814)737-8256x9889,7324f6f8-2e8f-4fe4-beac-be22d482c4e0,[2 2 5 5 4 2 3 3 3 2 3 5 2 3 2 4 5 5 2 1],22802.259740335943
crystal85,Megan Roberts,F,LE44JJ,markgriffin@gmail.com,1994-01-28,Fine artist,001-494-942-6472x838,fc5add23-d793-44eb-ab4f-b76aca01363f,[1 2 5 4 1 1 2 3 4 4 5 5 1 3 1 1 3 4 1 4],19526.02411440728
annahensley,Erik Gilbert,M,LS184YN,claytontammy@hotmail.com,2020-07-02,Geophysical data processor,+1-985-910-7532x9925,9615b99b-08b4-4278-9c3b-8f14a88d0e5d,[1 1 5 2 3 2 5 3 4 1 1 4 2 5 2 2 1 1 5 2],22934.13157813014
ibrown,Melissa Sanchez,F,KA183RH,aliciawallace@hotmail.com,1942-12-29,Waste management officer,+1-830-338-1975x160,665311cf-3c86-4c2c-b559-31a72948643e,[4 1 2 5 3 2 1 3 3 4 2 5 1 4 5 4 1 1 2 1],19971.137635258467
christinejohnson,Brendan Moran,M,NG56GL,nmiller@yahoo.com,1919-07-01,Architectural technologist,(812)777-6687,0c5800b2-1cf0-495d-8e01-5fe43118b2fc,[2 2 2 2 1 5 5 4 2 5 1 4 5 5 3 1 2 2 4 5],25417.217834738494
geraldsosa,John Bell,M,N42UX,awatts@gmail.com,1969-10-02,Patent attorney,239-333-0186x489,bf5198c6-713f-427e-91f7-ace3d9f1411f,[2 1 1 2 2 2 2 5 3 5 3 4 5 3 2 2 5 4 1 2],20724.85074623153
cynthiamcbride,Pamela Gilmore,F,EC3R7AJ,amanda51@gmail.com,1944-03-21,Television production assistant,8584600089,f4e5dba3-6d80-4919-923f-7c6b460f389d,[4 1 2 4 4 4 1 4 4 3 1 5 3 2 4 2 2 2 2 3],19088.120194927018
kellypreston,Taylor Miller,F,DN163HB,kblankenship@hotmail.com,1912-01-22,Speech and language therapist,399.807.6587x5874,962a1a27-fc5b-469e-bfae-cfcc7911b297,[2 5 1 4 4 4 2 3 1 5 2 1 4 3 3 5 5 2 3 5],20940.482235012954
mhoward,Christopher Rose,M,CV213RN,marcussmith@gmail.com,1957-05-12,"Administrator, education",(991)902-6804x51262,04de3223-3f82-47be-b480-81facd7c8646,[1 1 3 3 4 2 4 2 5 3 4 3 5 3 4 4 2 1 5 1],25728.92275148782
xford,Joseph Garcia,M,CT170NG,willisrobin@yahoo.com,2008-11-23,Physiotherapist,+1-599-120-6371x24989,98dfaa0e-af8b-4c1b-b492-7c3595c2ea97,[5 3 3 1 2 5 5 3 1 5 2 2 3 1 4 2 5 5 4 3],25011.453592387887
stephanietaylor,Lisa Williams,F,NW62DN,phillipsjared@gmail.com,1983-06-29,Games developer,001-493-942-5298x785,b6792559-4cb5-4424-9494-77de7db18f24,[4 3 3 1 3 1 5 5 1 2 3 2 3 4 1 1 4 2 5 1],21673.541592026042
melissa69,Robert Terry,M,HP180RA,raymondkelly@hotmail.com,1956-04-27,Training and development officer,699.902.2757,f655ac59-7b64-477f-9bec-665ccbfb6b19,[3 2 2 2 1 4 3 1 2 4 5 2 5 2 3 2 2 5 4 4],23820.472280049635
wernersally,Lisa Olson,F,S62BE,andersonsavannah@yahoo.com,1977-07-16,Forensic psychologist,+1-584-591-9176,213874e4-17a1-4aad-9ab0-e2c8db38184b,[5 5 5 5 3 3 4 2 2 4 1 1 1 2 5 1 3 2 1 2],22385.072955332176
browntiffany,Jennifer White,F,PA371RN,curtis48@hotmail.com,1964-03-11,Facilities manager,(553)390-9057,54aa46af-f899-4ae3-8a96-4b4bf5bdffed,[2 2 5 3 5 5 2 2 4 3 1 2 2 5 1 4 4 2 2 5],23096.306906383892
alawson,Mark Sandoval,M,RG402YP,aallen@hotmail.com,1921-07-22,"Conservation officer, historic buildings",(307)906-3731x395,3995b6ed-4e83-4b51-8e99-1e6b712914bd,[1 3 1 4 5 3 5 3 3 4 1 4 1 1 5 2 1 2 2 5],24349.05265002407
rwilliams,Faith Williams,F,FY15LY,gjackson@gmail.com,2000-06-24,"Teacher, English as a foreign language",001-442-700-5351,6e35d33d-b61a-4d78-ac85-de760d9509a3,[1 3 1 1 2 2 5 2 5 3 4 4 4 4 5 3 4 1 5 2],20253.961273732046
sheltonconnor,Kaitlyn Lang,F,SE185TU,erin21@gmail.com,1953-08-28,"Education officer, community",+1-979-599-3885x82714,4337d33c-bcb2-4b8a-ba88-7d80545ff2ed,[1 3 3 1 5 4 5 1 1 2 1 4 2 3 3 3 3 3 5 4],24144.54660072213
fpotter,Joseph Long,M,BA23WY,kaufmanalexis@hotmail.com,1937-01-28,"Biochemist, clinical",1413303143,bc1b304e-9ee9-452f-a177-510c163d7c7a,[1 4 2 3 5 3 3 1 4 5 3 4 5 5 5 3 1 3 4 1],22254.375514673968
courtney09,William Smith,M,AB513SS,belindabrown@hotmail.com,1943-10-16,Public house manager,510.997.4468x786,fa4e11fe-0698-403a-9ca2-c7da1d99ca30,[3 3 2 5 4 4 3 5 1 3 1 2 5 5 1 4 1 1 5 1],20813.39761510411
belljames,Cathy Price,F,DE723RS,david36@hotmail.com,2006-09-27,Multimedia programmer,(203)513-4794x61729,132a15aa-5ce5-478e-ab40-bce5ea6f7c27,[3 4 2 4 1 5 1 3 4 5 5 2 4 2 4 5 2 3 5 1],19897.7681823844
irodriguez,Daniel Stone,M,WD239FF,cindy91@hotmail.com,1915-04-29,Management consultant,003-223-5068x21035,e1a7bbe6-8bde-4915-951d-e650cfa7a9c3,[2 5 1 5 3 3 1 3 2 4 5 5 5 3 3 3 1 4 5 2],20377.696743541066
andrea89,Matthew Barrera,M,NN84HD,william53@yahoo.com,1945-08-03,"Exhibitions officer, museum/gallery",020.464.5354x0683,d6a9fd92-d91b-46db-bcea-86bb177b6829,[5 1 4 3 2 4 5 2 3 3 2 1 3 5 2 3 2 3 2 3],22544.104703303685
cporter,Robert Rodriguez PhD,M,CO169RN,millerkathy@yahoo.com,1927-04-05,"Librarian, academic",+1-557-013-7823x09062,e3316d07-b00e-4422-bd4a-7ca89b8269d3,[2 4 2 1 4 4 2 3 5 3 3 3 2 4 4 3 1 5 2 3],22553.77013795065
hunterdonna,Tara Collins,F,KY168SH,zgarza@hotmail.com,1936-01-21,"Clinical scientist, histocompatibility and immunogenetics",131.655.7858,00a5c6a1-c669-4b78-9cf3-ef3b044c590e,[2 3 4 2 2 2 4 5 5 5 1 5 1 1 3 1 3 2 2 4],21191.819818836477
russellsantana,Beth Garcia,F,NG82GL,asmith@hotmail.com,2000-12-20,Financial controller,651.027.0590,0f887972-cc84-42c2-a311-1f022244fc39,[1 4 2 3 3 3 5 4 3 2 1 3 5 3 1 1 5 4 5 1],22675.15295633773
castilloadam,Cindy Russell,F,KT70TB,barnettjose@hotmail.com,1936-10-07,Warehouse manager,+1-905-437-0630,6046a4be-4f07-4440-a7d9-70870815bd9a,[5 5 1 5 5 2 1 5 5 2 4 5 5 2 1 4 4 5 1 5],24575.337155616642
cummingsdillon,John Johnson,M,NG119EA,robin41@gmail.com,1967-08-14,Clinical molecular geneticist,209-591-9449x09094,9a618674-bec2-4a2f-bb3b-1c4c3b1f3ec0,[4 1 3 4 2 3 1 4 5 3 3 4 4 2 4 5 4 1 4 1],20991.15363833134
brianknight,Charles Brown,M,CM74NX,natalie79@yahoo.com,1942-06-06,Games developer,631-437-4088,beaa7ce8-c0c2-421d-bf12-f0b0ecabe5de,[3 2 1 5 3 5 3 2 4 1 2 3 4 5 3 1 2 4 5 2],21226.525521048992
jperez,April Jenkins,F,W22QY,haydenkeith@gmail.com,1930-03-01,"Engineer, electrical",255-681-4084,e0ddfa1e-dfbe-4b03-90c4-5643b03db9ae,[5 2 5 4 5 5 5 5 2 5 4 5 4 5 4 3 5 4 1 5],24300.82831090488
natalie91,Elijah Rasmussen DDS,M,CW95DN,lisacook@hotmail.com,1966-02-11,Sport and exercise psychologist,0424854313,c71ff36b-baec-43c3-90f8-750ac564493f,[3 2 2 5 3 5 4 4 4 2 3 1 3 3 3 2 5 3 1 1],20470.03502251508
carolyn74,Robert Brewer,M,KT80TA,amanda79@yahoo.com,1907-11-11,"Engineer, maintenance (IT)",263-308-5814,f3e839f1-3fb2-41d7-a71d-7d1bab310b8a,[4 3 1 4 3 3 2 5 2 3 4 2 3 5 2 5 5 3 3 2],23856.462724680532
robert52,Benjamin Spencer,M,OX201YD,melissa32@hotmail.com,1915-05-28,Actor,(070)988-1018,a395458f-ead6-46c1-bc64-4b5ee01b2f77,[2 1 1 4 5 4 2 3 3 4 3 2 4 5 5 2 3 5 3 3],21675.333958179857
brianasmith,Michele Edwards,F,PO208LH,matthewschwartz@yahoo.com,1972-08-06,Product manager,686.378.2254,1ff0e402-b188-4c65-afee-f5e4662fcaf3,[2 2 1 5 1 1 1 5 2 4 1 3 3 5 2 5 4 1 5 2],22363.302160916668
reidjessica,Mark Mills,M,CF87HW,terryroberto@yahoo.com,1973-12-23,Make,140-345-2679,b868ef67-d3b1-43a2-a8e9-f1c5dc329ad3,[2 2 5 4 1 3 1 1 3 2 2 1 1 4 1 2 5 1 4 3],20239.63612720965
ryanrichardson,Ashley Alexander,F,HR12QT,benjaminsampson@gmail.com,1992-12-09,Technical brewer,747.677.2973x72355,d470d586-420e-4a11-ac80-caf662affe78,[1 2 3 2 2 4 1 3 2 1 1 4 4 4 5 1 1 5 4 1],20386.89210936652
mnicholson,Andrew Palmer,M,LE115DH,shermaneric@hotmail.com,1995-02-11,"Engineer, civil (contracting)",201.269.8449x68140,84fb3d11-a2d3-4d19-a574-31d7a3d87b2d,[1 1 5 1 4 4 3 1 3 3 4 3 5 4 1 3 2 1 1 3],23901.00053694139
heidismith,Haley Garner MD,F,M226LT,stephanie21@gmail.com,1942-03-17,"Designer, furniture",001-523-585-7478x8947,14744da8-298f-4e35-8572-f0a4803b62aa,[2 5 4 3 4 3 3 5 4 2 4 2 5 1 2 1 1 5 1 5],17797.2300636661
collinsjustin,Daniel Estes,M,BA147DD,vazquezbonnie@hotmail.com,1969-04-30,Archaeologist,(041)573-7309x9872,b43c12f7-d88f-4243-a427-5917d5f4052d,[5 2 4 4 2 1 2 5 2 2 5 3 2 4 4 1 3 3 4 2],20541.36589035832
isaiahhanna,Rachel Marshall,F,BA147RD,lozanoamy@gmail.com,2009-09-07,Advertising account planner,638-589-8543,a016c65c-a873-4eda-b2e5-a5eae9c7b87c,[4 1 1 3 5 1 1 3 3 4 1 1 2 2 1 3 1 4 1 1],20298.242702534626
alvaradooscar,Paula Rodriguez,F,CM11GH,harperdeborah@yahoo.com,1925-06-08,Office manager,3336657651,09ba5bba-4f01-475b-8658-c487243cff8a,[5 1 3 2 1 5 2 5 3 2 1 3 5 5 1 5 1 2 1 1],26400.21720910156
johngomez,Ashley Reyes,F,CF48YL,allenjohnson@gmail.com,2007-01-11,"Embryologist, clinical",3838637776,bf7b5d82-6adf-4e5a-9f2e-110fc8c3e31a,[4 3 1 3 4 3 3 4 4 1 5 4 5 3 5 4 4 4 4 3],23621.684666727684
janestrickland,Ricky Walker,M,FK83TW,jordanrichard@gmail.com,1997-09-18,"Engineer, water",871-248-3608x4316,c72bad1e-a2ca-4088-b644-921e8cf88e42,[2 4 2 5 2 1 5 2 1 3 2 3 2 2 5 4 4 3 2 5],22046.770897938048
tammyhernandez,Sharon Ward,F,CF632QW,morgan16@yahoo.com,1984-10-23,Art therapist,(936)048-4568x93134,e77128a6-e57c-45bc-9ee9-56f2bad18b3d,[3 4 3 3 3 4 1 4 4 2 4 4 3 3 3 5 3 3 5 4],25389.057797079462
allendavid,Kristin Martin,F,CF56XH,brucedavis@yahoo.com,1977-05-26,"Civil engineer, consulting",923.717.0050x1910,35d20761-baf9-4ae5-9554-2b6203bcba0e,[5 4 5 5 1 4 1 5 4 5 1 2 5 1 1 5 1 3 4 5],23834.415536887263
gorr,Robin Bryant,F,HP70AT,ygarrett@yahoo.com,1948-03-16,Insurance claims handler,001-845-348-6668x6307,e63d481b-c24e-4c04-826b-ac98d2105af5,[3 5 5 2 3 4 3 3 1 1 3 3 2 3 2 2 3 1 1 3],22190.088263498797
upearson,Carol Herrera,F,W86XF,melanie71@yahoo.com,1946-04-25,Site engineer,6962156697,08a97a45-5243-4b22-b8d2-96759bc4156b,[3 5 5 1 4 3 4 3 4 2 2 1 1 1 2 4 2 2 5 4],22619.748543893296
theresa92,Cameron May,M,YO113DT,joshua57@yahoo.com,1991-12-21,"Programmer, applications",583-956-5072x73636,3de9041e-50e1-4fd2-9c90-ca6efad95727,[1 3 1 5 2 1 3 2 4 1 4 4 1 3 4 4 3 5 2 3],22710.86595096771
nhood,Sheri Buck,F,HD11AQ,oconnellchristopher@hotmail.com,1953-10-06,"Engineer, aeronautical",007.461.0547,3c39d975-a4cb-4a81-bf85-bc20166b61ee,[5 1 1 3 2 1 1 1 5 2 5 4 5 4 3 3 5 5 2 1],24035.13310707831
hamiltonryan,Sarah Smith,F,NR129FA,christina98@gmail.com,2019-08-16,Geoscientist,190.128.0758,dc94bed0-0d79-499d-9403-f3bdd872b028,[1 4 3 3 4 2 4 1 1 2 2 2 5 4 1 2 2 1 5 4],22802.45238129551
dana99,Stephen Sanders,M,HP30PZ,smithjoshua@gmail.com,1996-02-02,"Administrator, charities/voluntary organisations",(830)900-1697x406,e5422c32-87b4-4259-afaf-13fd1bac3d41,[2 1 3 3 5 5 2 2 3 4 3 5 1 1 4 5 1 5 4 2],22520.661746416677
tlove,Joshua Dillon,M,FK39XH,denisemcclure@hotmail.com,1949-08-13,Printmaker,5272669168,3d683194-d260-4e9d-b787-e642f4ce9216,[1 2 2 2 3 2 3 4 5 5 1 4 1 5 5 2 4 5 3 4],24620.404588602498
jeffersoncarrie,Emily Lang,F,GU466BW,johnsonhaley@gmail.com,1922-12-12,"Doctor, general practice",0029074626,a809eaa3-01ed-494f-9d04-ba428c00a7bd,[3 4 4 1 5 3 2 4 4 1 3 2 1 5 1 4 4 3 4 4],20488.775507478946
carlosmarsh,Mark Charles,M,AB10EB,landerson@hotmail.com,1980-12-28,Biomedical scientist,(506)153-2743x845,21f13cb0-41de-4d7a-861a-62041cadaa27,[1 3 5 4 5 3 4 2 4 5 2 1 4 4 2 2 4 1 4 1],21374.621195185107
jefferyphillips,Stephen Butler,M,SO224AN,xparsons@gmail.com,1920-01-10,Data scientist,919-571-4831,0884108c-2260-4a22-bb31-d8736a1425c0,[5 2 5 5 5 1 3 3 1 3 2 2 4 1 2 1 1 1 5 2],24205.15563134926
starktheresa,Kathleen Hubbard,F,NG29AB,baxterkevin@yahoo.com,1947-11-18,"Presenter, broadcasting",001-613-708-2173,61f1276d-6065-4820-87de-e30d1ff9d7ae,[5 1 5 4 2 5 3 3 1 1 5 5 1 3 4 2 4 5 1 5],22919.665403782354
goodmanelizabeth,Jason Reed,M,KT206SN,warrenbrittany@yahoo.com,1969-02-26,Information systems manager,681-295-9100x790,c753858b-2084-461e-83ee-e45a549d8e78,[1 2 3 2 4 4 4 3 4 5 1 5 1 4 1 1 1 2 5 4],22602.76730642176
rbaker,Christopher Vaughn,M,AB438ZU,rcook@gmail.com,1987-01-09,Exhibition designer,(795)007-9175,bdcf7472-ad44-4fd1-ac81-7bdb957659f7,[5 3 1 4 2 1 4 1 4 5 1 4 2 3 1 4 4 4 3 1],20743.551205859803
sarahburton,Adam Mills,M,WA20HS,monicawells@yahoo.com,2014-06-16,Chartered accountant,+1-325-357-6093x6251,0e312207-b6c9-450f-b697-3b7b5c98f1a2,[4 1 3 4 5 2 2 3 3 2 1 4 5 1 1 4 4 3 5 5],21706.923584056094
thomasmolly,Brett Long,M,NR340DP,mariayoung@hotmail.com,1971-01-12,Research scientist (physical sciences),001-359-347-0094x36390,dfa0edf7-cb67-4c7b-8091-0c544a6b1cff,[1 3 1 4 2 2 1 4 1 5 3 4 2 3 4 1 2 5 5 3],17558.693698119045
crystal96,Anthony Flynn,M,PE234QD,theresarobinson@gmail.com,1942-11-05,Pharmacologist,001-333-444-8207x37281,0fe1fa69-2395-4e66-a0e9-3cc37e6fc6ef,[3 1 4 1 5 1 3 2 1 2 2 3 1 4 4 2 4 3 4 5],19148.56046129208
brownlori,Edward Wilson,M,DD22EP,kelsey06@gmail.com,1934-07-14,Counsellor,531-950-1701x6101,58cca6ea-7303-42c6-8805-89dcdd063668,[1 3 3 3 4 2 2 4 3 3 5 5 5 1 2 5 3 5 2 3],19635.453848311154
kellybrandon,Jeffrey Yates,M,GU466BW,jonesjames@hotmail.com,1963-07-20,Applications developer,916-064-3634x73574,43641174-ed03-448b-a49b-f80166d5c956,[2 2 5 5 5 5 5 2 2 1 5 4 3 5 4 1 5 4 5 3],21058.86925610595
kimberly33,Christina Williams,F,G657HP,frankhayes@hotmail.com,1915-08-06,Clinical biochemist,252.625.1192,46c16619-44c7-4535-bad8-1f10b75ec5f5,[1 5 3 1 1 3 1 1 4 4 1 5 5 4 4 3 3 4 2 5],22990.378712358463
mckinneyjudy,Jennifer Rodriguez,F,PO212DF,escobarbradley@hotmail.com,1942-07-22,Dealer,(274)524-5382x8363,747f76c7-cd21-4e77-bd8f-b3ccd5595b72,[3 5 2 2 5 4 3 2 4 4 5 3 1 3 2 5 3 2 3 1],18770.563891481062
briggswilliam,Kathy Martinez,F,EX204LW,marymorgan@hotmail.com,1954-07-26,Chiropodist,+1-391-986-2648,18826766-05ba-4228-b45b-4a8b07453b29,[3 5 3 1 4 3 2 5 2 3 5 3 5 5 1 4 2 4 2 3],25032.018839477747
edwardjoseph,Stephanie Martin,F,TW123XT,mclaughlinnicole@hotmail.com,1958-07-13,"Education officer, museum",005.186.2789x1382,023e4920-9cf3-45bd-9ce2-3bd5dccc65da,[1 2 5 2 5 3 3 1 2 4 2 5 3 5 1 1 2 2 2 5],21191.064243185654
castrojohn,Frank Jones,M,BL66SA,elizabethdecker@gmail.com,1965-01-12,Medical physicist,(093)186-9609,08a4e747-1550-43d7-9614-1aae6df4ed34,[4 2 3 4 3 2 2 1 2 1 1 1 1 3 4 4 1 3 4 4],23459.03853004831
ngross,Beth Brown,F,S404YP,hawkinshunter@hotmail.com,1986-07-17,Metallurgist,630-019-9073x06374,78760eb0-0818-40c1-8c75-6b2e23d3ced3,[1 1 1 5 5 1 5 5 1 1 5 3 5 1 4 3 5 2 5 3],24245.98257231614
ryan87,Kathleen Jackson,F,DG72NG,emily40@yahoo.com,1966-10-30,Product manager,(478)299-6992x1122,173ead2f-8848-4217-b95d-7ee010646ccc,[5 5 3 5 4 5 2 4 1 3 1 2 1 2 2 3 1 2 2 2],19989.667985840602
vhancock,Tammy Perkins,F,YO259BA,wardgabriel@gmail.com,2015-10-02,Ceramics designer,001-900-342-1331x81588,c00d0d14-7408-4bd7-9654-d2095ceb7383,[3 5 1 5 1 2 1 5 1 5 4 2 4 5 4 5 3 3 1 2],22967.098591215654
eryan,Trevor Morris,M,B146NW,ycooper@yahoo.com,1939-06-11,Chartered loss adjuster,+1-533-437-5566x79176,532735ed-86bd-4b40-be20-573a5f1318e9,[4 3 2 4 1 5 2 2 1 3 1 3 5 1 5 4 2 5 5 3],17217.395548702058
nfrye,Kimberly Bautista,F,KT109TQ,kylemartin@yahoo.com,1938-01-04,Clinical psychologist,402-398-1090,d4fb2416-871f-4969-b53a-05c7ceeb45a4,[1 5 3 5 1 5 3 5 2 4 4 2 4 5 2 2 1 1 4 5],24395.62623642763
grant80,Michael Barnes,M,GL501LX,travis15@yahoo.com,2007-05-19,Barrister's clerk,001-974-817-6825,83badd00-ac7e-4715-a940-11d5645e7392,[5 1 5 5 4 1 2 5 1 3 2 3 4 2 4 1 4 3 4 4],20365.7999414558
msosa,Katherine Hernandez,F,TS148EW,ryanriley@hotmail.com,1924-06-12,Patent attorney,001-065-398-1736x8209,ac8ec161-e006-4ecb-ab5f-bc9c15890af7,[5 5 1 1 1 1 2 3 3 4 4 1 5 3 3 1 4 2 2 1],22885.599627718173
ireid,Betty Smith,F,TS56LG,johnwest@hotmail.com,2005-02-21,Insurance claims handler,682-043-3771x2192,2761845b-4839-49a5-8004-4cbf1709e8d7,[5 5 1 1 3 4 1 5 4 1 3 4 4 4 1 3 4 4 1 1],23536.844447664953
alicia61,Mr. George Rodriguez,M,RM125LT,michele17@gmail.com,1960-11-27,Physiotherapist,138-415-3684,eb90b53d-c854-4b5b-b23b-0bb85eb25075,[4 5 5 1 3 4 3 5 1 4 2 3 2 3 1 2 1 1 3 4],20731.056638230635
tgreen,Brian Johnson,M,RG126NS,patrick25@hotmail.com,1980-01-28,Surgeon,(786)151-2226x68405,85fa48c5-e55c-4037-a176-e731c38a9952,[1 3 2 5 4 2 1 3 1 5 2 2 3 5 1 2 2 4 4 2],22682.37142566124
yatessarah,Allison Brown,F,NE499LW,rachel74@hotmail.com,2017-01-20,Race relations officer,360.915.3109,267a5eb0-9de2-4b24-8116-796b55151b7f,[4 4 4 3 4 2 1 1 3 4 2 5 3 5 5 5 2 1 5 2],18808.43057017326
heather86,Mr. Cole Cook MD,M,LS125DU,michael23@yahoo.com,2012-01-11,Personal assistant,(538)889-9744,62436b5d-b3be-4cfc-8f93-38e74018d8be,[4 5 1 3 2 3 3 1 5 3 3 3 3 2 1 2 5 2 4 5],22193.425184117186
christina56,Nancy Bowman,F,BD80EW,romerojoshua@yahoo.com,2007-03-27,Environmental consultant,8156007577,34544d5a-78b6-4f98-aa8d-91ec281749f7,[5 2 5 1 4 2 2 1 1 1 1 4 2 2 4 2 2 2 5 5],24488.192325752192
ifigueroa,Elizabeth Sullivan,F,DT83RF,rebecca09@gmail.com,1948-06-26,"Education officer, museum",(910)149-5660x78015,b16b0fb6-e45b-4436-9057-ce3d3a913619,[4 5 5 5 2 3 2 1 1 5 2 1 5 1 5 1 3 1 3 4],22551.72739755522
